idx,Cond,ttype,choice,response,acc,rt,ssd
29,bsl,go,go,1,1,0.5451691,1000
29,bsl,stop,stop,0,1,0.651753,300
29,bsl,go,go,1,1,0.5983625,1000
29,bsl,stop,stop,0,1,0.6517326,200
29,bsl,stop,stop,0,1,0.6514641,250
29,bsl,go,go,1,1,0.5853163,1000
29,bsl,stop,go,1,0,0.5586089,400
29,bsl,go,go,1,1,0.5584701,1000
29,bsl,go,go,1,1,0.6516724,1000
29,bsl,stop,stop,0,1,0.6517678,350
29,bsl,go,go,1,1,0.5850663,1000
29,bsl,go,go,1,1,0.5451856,1000
29,bsl,go,go,1,1,0.5717639,1000
29,bsl,stop,stop,0,1,0.6516116,350
29,bsl,go,go,1,1,0.5717649,1000
29,bsl,stop,stop,0,1,0.6516914,300
