idx,Cond,pGo,pGo_split,ttype,response,acc,choice,rt
1,pnl,1.0,1,go,1,1,go,0.5051479
1,pnl,0.8,1,go,1,1,go,0.5052192
1,pnl,1.0,1,go,1,1,go,0.531613
1,pnl,0.0,2,go,0,0,stop,0.5450838000000001
1,pnl,0.6,1,go,1,1,go,0.54514
1,pnl,0.2,2,go,0,0,stop,0.5450305999999999
1,pnl,0.2,2,go,0,0,stop,0.5578476
1,pnl,0.0,2,go,0,0,stop,0.5451514000000001
1,pnl,0.4,2,go,0,0,stop,0.5450188
1,pnl,0.6,1,go,1,1,go,0.5452005999999999
1,pnl,0.4,2,go,0,0,stop,0.5451045
1,pnl,0.8,1,go,1,1,go,0.5051859999999999
1,pnl,0.6,1,go,1,1,go,0.5541081999999999
1,pnl,0.0,2,go,0,0,stop,0.5582646
1,pnl,0.2,2,go,0,0,stop,0.5451726
1,pnl,0.8,1,go,1,1,go,0.5051644000000001
1,pnl,1.0,1,go,1,1,go,0.5051210999999999
1,pnl,0.0,2,go,0,0,stop,0.5451743
1,pnl,0.4,2,go,0,0,stop,0.545146
1,pnl,0.8,1,go,1,1,go,0.47851520000000003
1,pnl,0.2,2,go,0,0,stop,0.5452185
1,pnl,0.4,2,go,1,1,go,0.5451826
1,pnl,1.0,1,go,1,1,go,0.5051965
1,pnl,0.6,1,go,1,1,go,0.5452068
1,pnl,1.0,1,go,1,1,go,0.5050018000000001
1,pnl,0.6,1,go,0,0,stop,0.558437
1,pnl,0.2,2,go,0,0,stop,0.5451917
1,pnl,1.0,1,go,1,1,go,0.5052641
1,pnl,0.0,2,go,0,0,stop,0.5451463000000001
1,pnl,0.6,1,go,1,1,go,0.5451879
1,pnl,0.2,2,go,0,0,stop,0.5451285
1,pnl,0.4,2,go,0,0,stop,0.5451738
1,pnl,1.0,1,go,1,1,go,0.5051448000000001
1,pnl,1.0,1,go,1,1,go,0.5317936
1,pnl,0.6,1,go,1,1,go,0.5452858
1,pnl,0.0,2,go,0,0,stop,0.5453504
1,pnl,0.2,2,go,0,0,stop,0.5451398000000001
1,pnl,0.2,2,go,1,1,go,0.5450225999999999
1,pnl,1.0,1,go,1,1,go,0.5053462000000001
1,pnl,0.4,2,go,0,0,stop,0.5451194
1,pnl,0.4,2,go,1,1,go,0.5452129
1,pnl,0.8,1,go,1,1,go,0.5317939
1,pnl,0.0,2,go,0,0,stop,0.5450682
1,pnl,0.6,1,go,1,1,go,0.5451949
1,pnl,0.4,2,go,1,1,go,0.5452340999999999
1,pnl,0.8,1,go,1,1,go,0.5582764
1,pnl,0.8,1,go,1,1,go,0.5052335
1,pnl,0.0,2,go,0,0,stop,0.5450222
1,pnl,0.8,1,go,1,1,go,0.5186098
1,pnl,1.0,1,go,1,1,go,0.45161670000000004
1,pnl,0.8,1,go,1,1,go,0.4783754
1,pnl,0.8,1,go,1,1,go,0.545162
1,pnl,1.0,1,go,1,1,go,0.54518
1,pnl,0.0,2,go,0,0,stop,0.5452041999999999
1,pnl,0.6,1,go,1,1,go,0.5451471999999999
1,pnl,0.8,1,go,1,1,go,0.5450605
1,pnl,0.8,1,go,1,1,go,0.5185562
1,pnl,0.0,2,go,0,0,stop,0.5452156
1,pnl,0.0,2,go,0,0,stop,0.5451385999999999
1,pnl,0.6,1,go,1,1,go,0.545099
1,pnl,0.0,2,go,0,0,stop,0.5452024000000001
1,pnl,1.0,1,go,1,1,go,0.5184418
1,pnl,0.4,2,go,0,0,stop,0.5580571
1,pnl,0.2,2,go,0,0,stop,0.558261
1,pnl,0.6,1,go,1,1,go,0.5458281999999999
1,pnl,0.2,2,go,0,0,stop,0.5452106
1,pnl,1.0,1,go,1,1,go,0.43991899999999995
1,pnl,0.6,1,go,1,1,go,0.5467959
1,pnl,0.4,2,go,0,0,stop,0.5451511
1,pnl,1.0,1,go,1,1,go,0.5318851
1,pnl,0.2,2,go,0,0,stop,0.5451975
1,pnl,0.4,2,go,0,0,stop,0.5450949
1,pnl,0.2,2,go,0,0,stop,0.5451881
1,pnl,0.4,2,go,0,0,stop,0.545131
1,pnl,1.0,1,go,1,1,go,0.5060593
1,pnl,0.6,1,go,0,0,stop,0.5452549
1,pnl,1.0,1,go,1,1,go,0.5184537
1,pnl,1.0,1,go,1,1,go,0.5452478000000001
1,pnl,0.8,1,go,1,1,go,0.5184899000000001
1,pnl,0.0,2,go,0,0,stop,0.5451155
1,pnl,0.6,1,go,0,0,stop,0.5452049
1,pnl,0.0,2,go,0,0,stop,0.5450761
1,pnl,0.2,2,go,0,0,stop,0.5451063
1,pnl,0.4,2,go,0,0,stop,0.557405
1,pnl,0.0,2,go,0,0,stop,0.5451369
1,pnl,0.8,1,go,1,1,go,0.4785798
1,pnl,1.0,1,go,1,1,go,0.5468945
1,pnl,0.4,2,go,0,0,stop,0.5451471
1,pnl,0.4,2,go,1,1,go,0.5450668000000001
1,pnl,0.4,2,go,1,1,go,0.5450807
1,pnl,0.6,1,go,1,1,go,0.5185048
1,pnl,0.2,2,go,0,0,stop,0.5451655
1,pnl,0.6,1,go,0,0,stop,0.5451111999999999
1,pnl,0.0,2,go,0,0,stop,0.5451209
1,pnl,0.2,2,go,0,0,stop,0.5451451999999999
1,pnl,0.8,1,go,1,1,go,0.5185649999999999
1,pnl,0.2,2,go,0,0,stop,0.5451473000000001
1,pnl,1.0,1,go,1,1,go,0.5183892
1,pnl,0.8,1,go,1,1,go,0.5052413
1,pnl,1.0,1,go,1,1,go,0.5069651
1,pnl,0.8,1,go,1,1,go,0.5451537
1,pnl,0.6,1,go,0,0,stop,0.5451019
1,pnl,0.2,2,go,0,0,stop,0.545135
1,pnl,0.4,2,go,1,1,go,0.54513
1,pnl,0.8,1,go,1,1,go,0.5317221
1,pnl,0.6,1,go,1,1,go,0.5451149000000001
1,pnl,1.0,1,go,1,1,go,0.518517
1,pnl,0.4,2,go,1,1,go,0.5450218000000001
1,pnl,0.0,2,go,0,0,stop,0.5451709
1,pnl,0.6,1,go,0,0,stop,0.5450028
1,pnl,0.6,1,go,0,0,stop,0.5451111999999999
1,pnl,0.8,1,go,1,1,go,0.5318198000000001
1,pnl,0.4,2,go,1,1,go,0.5450699999999999
1,pnl,0.4,2,go,0,0,stop,0.5450417
1,pnl,0.2,2,go,0,0,stop,0.5451331
1,pnl,0.2,2,go,0,0,stop,0.545112
1,pnl,0.2,2,go,0,0,stop,0.5450674
1,pnl,0.8,1,go,1,1,go,0.4785156
1,pnl,0.0,2,go,0,0,stop,0.545138
1,pnl,0.0,2,go,0,0,stop,0.5450603
1,pnl,0.0,2,go,0,0,stop,0.5452153000000001
1,pnl,1.0,1,go,1,1,go,0.4917875
1,pnl,1.0,1,go,1,1,go,0.5308118000000001
1,pnl,1.0,1,go,1,1,go,0.5451986999999999
1,pnl,1.0,1,go,1,1,go,0.493612
1,pnl,1.0,1,go,1,1,go,0.5184779
1,pnl,0.6,1,go,1,1,go,0.5451069000000001
1,pnl,1.0,1,go,1,1,go,0.5319014
1,pnl,0.8,1,go,1,1,go,0.5318279
1,pnl,1.0,1,go,1,1,go,0.4918027
1,pnl,0.4,2,go,1,1,go,0.5450783
1,pnl,0.0,2,go,0,0,stop,0.5451362
1,pnl,0.0,2,go,0,0,stop,0.5450994
1,pnl,0.2,2,go,0,0,stop,0.545221
1,pnl,0.4,2,go,1,1,go,0.5451688
1,pnl,0.6,1,go,1,1,go,0.5451163
1,pnl,1.0,1,go,1,1,go,0.5451984999999999
1,pnl,0.2,2,go,0,0,stop,0.5451365
1,pnl,0.0,2,go,0,0,stop,0.5452979
1,pnl,0.4,2,go,0,0,stop,0.5451391999999999
1,pnl,0.0,2,go,0,0,stop,0.5582242
1,pnl,0.6,1,go,1,1,go,0.5452679
1,pnl,0.2,2,go,1,1,go,0.5451566
1,pnl,0.8,1,go,1,1,go,0.5329975
1,pnl,0.4,2,go,0,0,stop,0.5455045000000001
1,pnl,0.2,2,go,1,1,go,0.546179
1,pnl,0.8,1,go,1,1,go,0.5186734000000001
1,pnl,0.8,1,go,1,1,go,0.5452044
1,pnl,0.6,1,go,1,1,go,0.5453026
1,pnl,1.0,1,go,1,1,go,0.5185152
1,pnl,1.0,1,go,1,1,go,0.49075979999999997
1,pnl,0.2,2,go,0,0,stop,0.5450095
1,pnl,0.0,2,go,0,0,stop,0.5453197
1,pnl,0.8,1,go,1,1,go,0.5051312
1,pnl,0.6,1,go,1,1,go,0.5451621
1,pnl,0.2,2,go,0,0,stop,0.5451204000000001
1,pnl,0.0,2,go,0,0,stop,0.5451406999999999
1,pnl,0.6,1,go,0,0,stop,0.5451983
1,pnl,0.8,1,go,1,1,go,0.5052241
1,pnl,0.2,2,go,0,0,stop,0.5452815
1,pnl,0.4,2,go,0,0,stop,0.558351
1,pnl,0.4,2,go,1,1,go,0.545112
1,pnl,1.0,1,go,1,1,go,0.5317467
1,pnl,0.6,1,go,1,1,go,0.5451378
1,pnl,0.8,1,go,1,1,go,0.53182
1,pnl,1.0,1,go,1,1,go,0.5052755999999999
1,pnl,0.4,2,go,0,0,stop,0.5452088
1,pnl,1.0,1,go,1,1,go,0.5185845
