idx,pGo,Cond,response,choice,rt,HL
2,1.0,bsl,1,go,0.438409,1
2,1.0,bsl,1,go,0.5584549,1
2,1.0,bsl,1,go,0.4399069,1
2,0.6,bsl,1,go,0.5184741,1
2,1.0,bsl,1,go,0.4651858,1
2,1.0,bsl,1,go,0.51853,1
2,0.0,bsl,0,stop,0.5583113,2
2,0.2,bsl,1,go,0.4784105,2
2,0.8,bsl,1,go,0.4518329,1
2,0.8,bsl,1,go,0.5051127,1
2,0.6,bsl,1,go,0.4917609,1
2,0.2,bsl,0,stop,0.5450749,2
2,1.0,bsl,1,go,0.5316471,1
2,0.0,bsl,0,stop,0.5572163,2
2,1.0,bsl,1,go,0.4784183,1
2,0.0,bsl,0,stop,0.5450652,2
2,0.4,bsl,0,stop,0.5573432,2
2,0.4,bsl,1,go,0.5052976,2
2,0.4,bsl,1,go,0.5450762,2
2,0.8,bsl,1,go,0.5451796,1
2,0.6,bsl,0,stop,0.5450668,1
2,0.4,bsl,0,stop,0.5582602,2
2,0.6,bsl,0,stop,0.5583073,1
2,0.2,bsl,0,stop,0.5450668,2
2,0.0,bsl,0,stop,0.545051,2
2,0.2,bsl,0,stop,0.5584845,2
2,0.8,bsl,1,go,0.478444,1
2,1.0,bsl,1,go,0.5314802,1
2,0.4,bsl,0,stop,0.5450873,2
2,0.2,bsl,0,stop,0.5458128,2
2,1.0,bsl,1,go,0.4918682,1
2,0.4,bsl,0,stop,0.5450608,2
2,0.0,bsl,0,stop,0.5450585,2
2,0.0,bsl,0,stop,0.5583483,2
2,0.4,bsl,0,stop,0.5451027,2
2,0.8,bsl,1,go,0.5051852,1
2,0.6,bsl,0,stop,0.5453707,1
2,1.0,bsl,1,go,0.4917803,1
2,0.4,bsl,0,stop,0.5583392,2
2,0.6,bsl,0,stop,0.5582864,1
2,0.0,bsl,0,stop,0.5451192,2
2,0.0,bsl,0,stop,0.5450393,2
2,1.0,bsl,1,go,0.5049708,1
2,0.2,bsl,0,stop,0.5451042,2
2,0.8,bsl,1,go,0.4784073,1
2,0.6,bsl,1,go,0.5049621,1
2,0.8,bsl,1,go,0.5048643,1
2,0.2,bsl,0,stop,0.5450367,2
2,0.8,bsl,1,go,0.5185166,1
2,0.2,bsl,0,stop,0.5451099,2
2,0.6,bsl,1,go,0.5582268,1
2,1.0,bsl,1,go,0.4917504,1
2,1.0,bsl,1,go,0.5050613,1
2,0.4,bsl,0,stop,0.5450734,2
2,0.0,bsl,0,stop,0.5452299,2
2,0.0,bsl,0,stop,0.5450173,2
2,0.6,bsl,0,stop,0.5450029,1
2,0.2,bsl,0,stop,0.5581863,2
2,0.4,bsl,0,stop,0.5451747,2
2,0.0,bsl,0,stop,0.5451513,2
2,0.4,bsl,0,stop,0.5450613,2
2,0.2,bsl,0,stop,0.5451192,2
2,0.8,bsl,1,go,0.5457178,1
2,0.2,bsl,1,go,0.5450914,2
2,0.8,bsl,1,go,0.5201987,1
2,1.0,bsl,1,go,0.4785055,1
2,0.0,bsl,0,stop,0.5581751,2
2,1.0,bsl,1,go,0.5051258,1
2,0.6,bsl,1,go,0.5185269,1
2,0.6,bsl,1,go,0.5052055,1
2,0.6,bsl,1,go,0.5451033,1
2,0.8,bsl,1,go,0.4785751,1
2,0.4,bsl,1,go,0.5183456,2
2,1.0,bsl,1,go,0.5049943,1
2,0.8,bsl,1,go,0.545007,1
2,1.0,bsl,1,go,0.505208,1
2,0.2,bsl,0,stop,0.5450748,2
2,1.0,bsl,1,go,0.5468073,1
2,0.8,bsl,1,go,0.5184818,1
2,1.0,bsl,1,go,0.5183779,1
2,0.0,bsl,0,stop,0.5451445,2
2,0.4,bsl,0,stop,0.5455582,2
2,0.0,bsl,0,stop,0.5451616,2
2,0.8,bsl,1,go,0.5444583,1
2,0.4,bsl,0,stop,0.5582283,2
2,0.2,bsl,0,stop,0.545036,2
2,0.0,bsl,0,stop,0.5451579,2
2,0.4,bsl,1,go,0.5451445,2
2,1.0,bsl,1,go,0.5184145,1
2,0.8,bsl,1,go,0.5317859,1
2,1.0,bsl,1,go,0.5050866,1
2,1.0,bsl,1,go,0.4916938,1
2,0.0,bsl,0,stop,0.5451252,2
2,0.6,bsl,0,stop,0.5450672,1
2,0.2,bsl,0,stop,0.5450691,2
2,0.6,bsl,1,go,0.5316957,1
2,0.4,bsl,0,stop,0.5450533,2
2,0.2,bsl,0,stop,0.5450643,2
2,0.8,bsl,1,go,0.5183552,1
2,0.2,bsl,0,stop,0.5468036,2
2,0.6,bsl,0,stop,0.5451462,1
2,0.6,bsl,0,stop,0.5451028,1
